lr,la,rho*,T*,rho*_sim,T*_sim,P*_sim,TotEn_sim,thermal_conductivity,T*_sim_std,P*_sim_std,TotEn_sim_std,thermal_conductivity_std,is_fluid,is_solid,is_stable
7.0,6.0,0.04,1.6,0.04,1.599728172413793,0.0524984354137931,1.922185375862069,1.1587269461880885,0.004463408204755,0.0002500224029237,5.657430561660421e-05,0.0580829565908636,True,False,False
7.0,6.0,0.05,1.8,0.05,1.800122803448276,0.0735159675172413,2.131654472413793,0.7668299394790516,0.0045480551551586,0.0003651530885562,6.352987035036812e-05,0.0077385908251227,True,False,False
7.0,6.0,0.05,1.9,0.05,1.8998290103448277,0.0791190616551724,2.293077275862069,0.7662179361931415,0.00426415143546,0.0003720790596108,6.075834237173974e-05,0.0601374236842233,True,False,False
7.0,6.0,0.05,2.0,0.05,1.9998758793103448,0.0846772803103448,2.452661434482758,0.8870933056241879,0.0043246763356335,0.0003676560689532,5.805527380046104e-05,0.0004046319758944,True,False,False
7.0,6.0,0.05,2.03,0.05,2.0303515758620687,0.0863867144827586,2.5014080999999995,0.851206713190434,0.0042294644752741,0.0003832829511184,5.762947089668839e-05,0.0526147014493573,True,False,False
7.0,6.0,0.05,2.4,0.05,2.400329427586207,0.1068124037931034,3.0839233655172413,0.8109632395312757,0.0037748503119292,0.0004074106238244,4.954276117802365e-05,0.0270091582944905,True,False,True
7.0,6.0,0.05,5.3,0.05,5.2996878844827595,0.263343856637931,7.528291456896552,2.2045624783465234,0.0033436349363053,0.0006392892131332,3.894164901429646e-05,0.1063357202724366,True,False,True
7.0,6.0,0.05,10.0,0.05,10.000177927586208,0.5131768906896551,14.665138241379308,2.761485762860568,0.0044225391480815,0.0009831144245888,6.709111728180063e-05,0.0603124855202204,True,False,True
7.0,6.0,0.059272,1.66,0.059272,1.660162579310345,0.0740881457931034,1.792171748275862,0.7699376171669272,0.0053240576403171,0.000469067112945,8.606982781968612e-05,0.0139106232110382,True,False,False
7.0,6.0,0.06,4.52,0.06,4.519735734482758,0.2650556458620689,6.253646403448275,2.2710420960553583,0.0036081967040101,0.0007596761812865,4.413121316809474e-05,0.1557565299398948,True,False,True
7.0,6.0,0.06,5.79,0.06,5.7898885931034485,0.3478030793103448,8.193384386206898,2.1051374156842955,0.0036602519370659,0.0009015164300589,4.0572853183057105e-05,0.0356052248453284,True,False,True
7.0,6.0,0.06,6.63,0.06,6.629583079310344,0.402179074137931,9.472947179310344,2.20951019954412,0.003827167144026,0.0010008446158991,3.947712214732741e-05,0.197533238287683,True,False,True
