ms,lr,la,rho*,T*,rho*_sim,T*_sim,P*_sim,TotEn_sim,shear_viscosity,T*_sim_std,P*_sim_std,TotEn_sim_std,shear_viscosity_std,is_fluid,is_solid,is_stable
1.0,7.0,6.0,0.025,8.69,0.025,8.690744679310345,0.2194072403448275,12.854952586206895,0.6500936123932293,0.0029260272960222,0.0003219271541997,5.02172013926526e-05,0.0288808948375535,True,False,True
1.0,7.0,6.0,0.03,8.79,0.03,8.790500072413794,0.266956664137931,12.970098655172412,0.6782412812198874,0.0032594411220341,0.0004222592461335,2.6816581987151863e-05,0.0040664646278086,True,False,True
1.0,7.0,6.0,0.03,10.0,0.03,9.999401286206895,0.3044797796551723,14.795203310344824,0.7372306737812528,0.0035748161473311,0.0004747218383445,5.095913685205509e-05,0.070217594681323,True,False,True
1.0,7.0,6.0,0.036876,1.84,0.036876,1.8400975965517243,0.0589403344137931,2.344215872413793,0.1824851428864561,0.0037441053842878,0.0002310191323804,4.8748719632220853e-05,0.0071091354843482,True,False,False
1.0,7.0,6.0,0.036981,1.53,0.036981,1.5297364275862069,0.0464644293103448,1.8448553620689656,0.1599334502093415,0.0041937665264578,0.000209533268924,5.418950251366945e-05,0.0064127948963817,True,False,False
1.0,7.0,6.0,0.04,1.6,0.04,1.599728172413793,0.0524984354137931,1.922185375862069,0.2737772282004265,0.004463408204755,0.0002500224029237,5.657430561660421e-05,0.035429516238182,True,False,False
1.0,7.0,6.0,0.04,2.8,0.04,2.800120296551724,0.104658142413793,3.802853327586207,0.2756811765167147,0.0032219173717714,0.0003129310709814,4.1279922585413985e-05,0.0300955101639569,True,False,True
1.0,7.0,6.0,0.04,5.2,0.04,5.199494382758621,0.2065804258620689,7.459419210344827,0.4733765945560735,0.0029577175197978,0.0004551259237143,3.4488784613416514e-05,0.0892194988576818,True,False,True
1.0,7.0,6.0,0.04,8.8,0.04,8.799379220689655,0.3579413603448276,12.91356448275862,0.6262122286700067,0.0037519502041165,0.0006559238524296,4.977259129675668e-05,0.0236761286249831,True,False,True
1.0,7.0,6.0,0.05,1.5,0.05,1.5002348062880324,0.0563832491643001,1.631466774239351,0.1694479077883143,0.0055016803789689,0.000350082005035,8.144772483077512e-05,0.0247814914669913,True,False,False
1.0,7.0,6.0,0.05,1.7,0.05,1.6999553015325668,0.0678611826743294,1.967982979693487,0.2153438045586447,0.0047757651185131,0.0003519965938271,6.627360360303787e-05,0.0234882043171375,True,False,False
1.0,7.0,6.0,0.05,1.9,0.05,1.8996870220689657,0.0791186896045976,2.2928833045977015,0.2065568872090924,0.004319953856399,0.0003673576700631,6.0698013858177654e-05,0.0174833222033418,True,False,False
