ms,lr,la,T*,P*,rhol*,rhov*,Tr,Pr,Tc*,Pc*,rhoc*
1.0,7.0,6.0,0.7499737266000001,1.5596302463999955e-06,0.9152207476666664,0.00010986,0.3785378616197162,8.412477572133419e-06,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,0.7699636621,9.120132338400004e-05,0.9095928703333336,0.0001313057142857,0.3886274783218782,0.0004919301156717,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,0.8999202064999999,0.0007467422789594,0.8736967449999998,0.0008596867391161,0.4542210727050867,0.0040278474262794,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,0.9199891285,0.0008582433750669,0.8679225806451613,0.0010148730412147,0.4643505566449217,0.0046292723296741,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.050032274,0.002938907745021,0.8312140130000001,0.0030646869696969,0.529987861619642,0.0158521518472895,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.070006734,0.0036108252894293,0.8253033735483871,0.0036349847058823,0.5400696672979377,0.0194764027142531,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.1999308809999998,0.009062762431413,0.787413016875,0.00801777185625,0.6056469095849552,0.0488835644678065,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.220095538,0.0102570391614744,0.7811287299999999,0.0089916014852941,0.6158247143137684,0.0553253645225008,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.3499510259999998,0.0209534574980319,0.7404430672727271,0.01758349328125,0.6813673020120727,0.1130206929929187,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.380085212,0.023990138556488,0.7305691733333333,0.01987311421875,0.6965770752688027,0.1294002235623923,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.509856762,0.042876341144834,0.6856563714705883,0.034332826125,0.7620772965349222,0.2312703662221424,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.5300800208659364,0.0459776865980699,0.6791685166666667,0.0369811533106961,0.7722846796665934,0.2479986895725052,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.659986939,0.07377256647,0.6271515974999999,0.0592148577777777,0.8378532259448864,0.3979212780081145,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.6800173339999998,0.079480848991,0.6195710580769231,0.064068623347826,0.8479632639659146,0.4287111391269004,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.810079463,0.11825893059,0.5558621425,0.1011974265,0.913610150574286,0.6378759347539033,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.830046922,0.12541194446,0.5449767229166667,0.1085113363888889,0.9236884226040348,0.6764585211672097,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.959992572,0.1773731092,0.4412875733333333,0.1846816425,0.989276518204108,0.9567314473983876,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,7.0,6.0,1.9812383453294635,0.1853948771960257,0.305186429579308,0.305186429579308,1.0,1.0,1.9812383453294635,0.1853948771960257,0.305186429579308
1.0,8.0,6.0,0.7199717422412675,0.0001715010558849,0.8868622884691066,0.0003312987218772,0.4169181491290958,0.0010831444202866,1.7268899033184884,0.1583362778525097,0.3036891942465003
1.0,8.0,6.0,0.7400047865999999,0.0001611897813449,0.8806857970967741,0.000381952350497,0.4285187985510629,0.0010180217921697,1.7268899033184884,0.1583362778525097,0.3036891942465003
1.0,8.0,6.0,0.8399785734000002,0.0009230984474138,0.8494281623333333,0.0012299201475205,0.4864111903056762,0.0058299870372958,1.7268899033184884,0.1583362778525097,0.3036891942465003
1.0,8.0,6.0,0.8599491152000001,0.0012859464629239,0.8432686819999999,0.0014170586443823,0.4979756460139547,0.0081216160968603,1.7268899033184884,0.1583362778525097,0.3036891942465003
1.0,8.0,6.0,0.9699858243,0.003851962497769,0.808159060625,0.0041324945511764,0.561695231662436,0.0243277317745027,1.7268899033184884,0.1583362778525097,0.3036891942465003
1.0,8.0,6.0,0.9800496195,0.0041737186143155,0.8045926171875,0.0044261691058823,0.567522931031493,0.0263598378774782,1.7268899033184884,0.1583362778525097,0.3036891942465003
1.0,8.0,6.0,1.0899499059999995,0.0095235796617996,0.7677928363636363,0.009367149730303,0.6311635176657705,0.0601478056132582,1.7268899033184884,0.1583362778525097,0.3036891942465003
1.0,8.0,6.0,1.109960694,0.011119601608254,0.7614230393939394,0.0109891956212121,0.6427512789709624,0.0702277567659631,1.7268899033184884,0.1583362778525097,0.3036891942465003
1.0,8.0,6.0,1.210037967,0.0203601272804341,0.7250671985294117,0.0190076385212121,0.7007035970705042,0.128587886216446,1.7268899033184884,0.1583362778525097,0.3036891942465003
1.0,8.0,6.0,1.230096544,0.022395080391663,0.7180734580000002,0.0209286843304347,0.712319031824888,0.1414399826458218,1.7268899033184884,0.1583362778525097,0.3036891942465003
1.0,8.0,6.0,1.330040105,0.03761277137302,0.6790658928125001,0.0344631789599999,0.7701939205528507,0.2375499278065403,1.7268899033184884,0.1583362778525097,0.3036891942465003
1.0,8.0,6.0,1.349978931,0.04117390818827,0.6704258116129033,0.037405712,0.7817400104116684,0.2600408999548638,1.7268899033184884,0.1583362778525097,0.3036891942465003
1.0,8.0,6.0,1.449982538,0.063045520052,0.6252798879310345,0.058137606,0.8396496703198232,0.3981748270647546,1.7268899033184884,0.1583362778525097,0.3036891942465003
